trial #,time1,InterStim,reaction time,distance
31,91479832,610552,170508,1
32,94494976,810524,199688,3
33,97477224,910156,142984,3
34,100492544,410684,231304,2
35,103491896,726324,214280,2
36,106490768,693436,159112,2
37,109489824,625972,211464,3
38,112488272,610556,115336,2
39,115487696,909676,14088,1
40,118485664,727044,203400,2
41,121485200,426476,240024,1
42,124483776,776916,116104,2
43,127482712,726804,205704,2
44,130481408,410444,204296,2
45,133479736,710660,152200,1
46,136512648,941476,18952,1
47,139478152,476820,195208,1
48,142476840,426716,180624,1
49,0,0,0,1
50,148474968,725820,76296,2
51,151473344,809564,21256,1
52,154472216,909316,25224,2
53,157470976,926300,45576,2
54,160470088,560072,290188,3
55,163468952,592852,223880,1
56,166468016,809084,168840,2
57,169466832,692948,206856,2
58,172465344,476468,263840,3
59,175463856,610788,204552,1
60,178463336,942924,97032,2
61,181461728,443572,216712,1
62,184444088,926308,139272,2
63,187442368,859924,131720,2
64,190458168,576940,138888,2
65,193456800,877036,42888,3
66,196455736,926548,248200,1
67,199454784,660068,180616,1
68,202453664,559348,211976,1
69,205452480,492972,208136,2
70,208451352,492852,206088,2
71,211450288,742708,23816,1
72,214432240,543324,217864,2
73,217431296,1009668,252048,1
74,220446488,709940,271624,2
75,223445784,526460,178952,3
76,226444600,742708,73992,3
77,229443232,859564,210312,1
78,232441808,743068,138376,1
79,235440864,492848,261644,3
80,238439728,926556,12556,2
81,241438732,443096,229640,1
82,244437304,609828,151048,1
83,247436300,776196,47628,2
84,250434816,676684,97800,3
85,253433868,743064,186504,1
86,256432744,776196,125448,1
87,0,0,0,3
88,262430960,775596,34184,3
89,265429368,843052,192776,1
90,0,0,0,2
91,271427032,975540,21640,2
92,274425328,893652,31240,1
93,277424320,660304,195852,1
94,280440240,593204,267400,3
95,283422072,776196,93080,1
96,286421488,809444,130568,3
97,289420472,442380,191624,2
98,292419296,542724,193288,1
99,295417624,826316,100104,2
100,298416624,609460,114568,2
1,1510536,743304,237324,3
2,4526752,626092,224904,2
3,7524848,1009788,124936,3
4,10523896,726684,171144,3
5,0,0,0,1
6,16522048,442748,219528,3
7,0,0,0,1
8,0,0,0,1
9,22519248,509924,256008,1
10,25518092,476584,195208,2
11,28516848,526940,371592,3
12,31515480,560312,170508,2
13,0,0,0,3
14,37513832,825828,145672,3
15,40511864,443692,285960,2
16,43510552,610308,209416,3
17,46509672,593076,246536,2
18,49508184,743788,257672,2
19,52507240,909556,188296,3
20,55505808,1010156,173208,1
21,58538656,543088,317964,3
22,61503920,826556,183688,1
23,64502496,793660,152968,1
24,67501792,526580,257416,3
25,70500240,726924,190600,3
26,73499240,793660,173064,2
27,76498112,860404,142344,3
28,79497104,460324,225928,1
29,82495744,576572,145800,3
30,85494376,560676,175496,1
31,88493432,543324,210440,3
32,0,0,0,3
33,94491544,659452,198024,3
34,97489992,609828,210440,2
35,100488568,843416,103692,2
36,103487500,593800,197384,1
37,106486796,659704,180752,1
38,109485488,643076,246152,2
39,112484488,926180,74504,3
40,115482636,626936,195984,2
41,118482224,859692,150536,3
42,121480448,460316,227080,1
43,124479440,927028,24848,1
44,127478312,909800,149900,2
45,130477000,810300,199824,2
46,133475824,660180,190856,1
47,136474816,760052,59528,3
48,139473680,1010044,3084,1
49,142472448,576932,353032,3
50,0,0,0,2
51,148470640,659196,186248,1
52,151468888,560188,192136,1
53,154484496,826684,188680,1
54,157466636,1026656,217864,2
55,160465512,593564,323344,1
56,163464504,542724,273544,3
57,166463440,676204,194824,3
59,172460640,1009796,71688,1
60,175459640,843300,168968,1
61,178458096,993644,195976,3
62,181457632,893052,190472,3
63,184456264,942924,21128,1
64,187455016,843060,97544,1
65,190453824,926308,44936,1
66,193452768,959548,159112,2
67,196468328,559468,214792,1
68,199450456,476220,216200,3
69,202449032,893292,57120,1
70,205464768,793060,131464,3
71,208447136,642716,208136,2
72,211462216,626932,214280,2
73,214460552,876788,122648,1
74,217460024,409724,217096,2
75,220458896,759572,176264,3
76,223441152,743548,101912,1
77,226440024,626092,179600,1
78,0,0,0,2
79,232437848,709316,151816,2
80,235453208,576340,226312,3
81,238452144,626812,175240,1
82,241434096,509836,230040,2
83,244449656,792940,44936,1
84,247448104,593204,193672,3
85,250430176,510676,185608,1
86,253429352,493092,241672,2
87,0,0,0,2
88,259444336,741972,55944,1
89,0,0,0,1
90,265442128,892460,188952,3
91,268423120,976780,1036,1
92,271439104,576452,236040,1
93,274438336,626212,189832,3
94,277437088,542844,224776,3
95,280435960,926068,166664,1
96,283418032,709340,224136,2
97,286433352,592964,202504,1
98,289415600,709700,192544,3
99,292430792,843428,181512,1
100,295412568,877508,196744,3
1,1516680,710172,302216,3
2,4515976,459836,290824,3
3,7514728,576212,175368,2
4,10513420,610184,173064,2
5,13511992,710060,295176,3
6,16510688,443572,226440,3
7,19509552,476716,340360,1
8,22508616,642836,195976,2
9,25507488,576580,185864,2
10,28506368,709812,325512,1
11,31504816,493452,219272,2
12,34503680,860044,20744,2
13,37502568,759812,151432,1
14,40501864,792580,79112,2
15,43517120,742708,160800,2
16,46516056,742948,50968,3
17,49498184,826436,112648,3
18,52496152,1010756,88200,3
19,55495624,776324,227720,2
20,58494624,709940,172552,1
21,61510248,926060,54664,3
22,64508880,843420,205832,1
23,67507632,877028,149384,1
24,70506208,510436,201736,2
25,73488576,643556,171656,2
26,0,0,0,2
27,0,0,0,1
28,79503536,626220,239880,1
29,82501704,526700,229128,3
30,85483656,1026532,16008,2
31,88482584,776804,194456,2
32,91497728,860164,43152,1
33,94496780,960032,144136,1
34,97479032,526940,412296,3
35,100478384,726204,196232,2
36,103492920,976780,54408,3
37,106475704,876436,211336,3
38,109474704,642836,184200,1
39,112490208,826428,137224,1
40,115488720,693436,196744,2
41,118470968,860044,36232,1
42,121486168,610308,206216,2
43,124485464,643316,7688,2
44,127484096,576820,193952,3
45,130483336,909316,235528,2
46,133482208,426708,300296,1
47,136481264,592836,183816,1
48,139462784,626452,210568,1
49,142479000,709228,175120,1
50,145477224,593076,183688,2
51,148459532,426112,195208,2
52,0,0,0,2
53,0,0,0,2
54,0,0,0,2
55,154457952,925212,113304,1
56,155658128,2757580,200584,3
57,160454848,826556,205976,2
58,163452992,426960,318092,3
59,166452656,1009908,104712,2
60,169467976,609588,195736,3
61,172466840,810060,140424,2
62,175465784,676204,173576,3
63,178464408,426484,205704,1
64,181446368,593564,185368,1
65,184462408,877876,41240,3
66,187460800,842820,180112,1
67,190459792,826556,185864,3
68,0,0,0,3
69,0,0,0,3
70,193459336,692348,174864,2
71,196458024,660068,188040,1
72,199449192,232628,747784,2
73,202455052,1009668,154124,1
74,205437600,859324,194184,2
75,208452984,726680,205452,3
76,211434808,526580,200328,1
77,214450672,442972,221576,3
78,217449424,726204,186760,2
79,220448112,592964,205704,1
80,223430544,675844,188552,3
81,226445688,592596,204040,2
82,229427752,926668,93088,3
83,232427048,743188,162952,1
84,235442968,692956,177568,2
85,238441000,460084,261256,3
86,241457040,842940,456200,2
87,244439416,559708,233608,1
88,247438408,425868,463368,1
89,250436368,859932,129928,2
90,253435916,1009184,21384,1
91,256417864,692708,205320,1
92,259432584,610308,179720,1
93,262432056,442492,207368,1
94,265430864,675852,263432,2
95,0,0,0,3
96,271428912,859092,186128,1
97,274427192,626572,222472,1
98,277426008,826308,168328,3
99,0,0,0,3
100,283423888,692460,169624,3
1,1525232,1010508,230536,3
2,4524344,494052,259208,3
3,7506776,459960,242572,1
4,10522216,410084,295816,3
5,13537776,393460,225544,1
6,16519720,726804,20488,3
7,19518896,893536,244108,2
8,22517352,427068,280072,2
9,25516104,943172,145288,2
10,28515096,610068,208520,1
11,0,0,0,2
12,34513336,992556,40584,3
13,37511600,876788,218888,2
14,38816236,2636984,120328,3
15,43509400,576828,205064,3
16,46508344,959676,166816,3
17,49507400,726324,198936,3
18,52505672,660060,195080,1
20,58503720,759332,2696,3
21,61485424,810292,211336,1
22,64501408,759452,225288,1
23,67500104,859684,171144,1
24,70499216,792948,161424,3
25,73497432,594164,175496,3
26,0,0,0,1
27,79495912,926052,239752,3
28,82494288,476716,279960,2
29,85493112,476824,236940,1
30,88491800,693076,477320,1
31,91523920,693684,211600,1
32,94489432,792940,337544,3
33,97488368,726196,204168,3
34,100487180,726680,162440,2
35,103486112,609948,42504,2
36,106484928,743068,161800,1
37,109483440,526700,217352,1
38,112482560,876788,203680,2
39,0,0,0,1
40,118480856,776188,98696,1
41,121479120,693676,161304,3
42,124477872,693676,167176,2
43,127476448,659940,115592,2
44,130475504,859804,180360,1
45,133474016,993524,23560,2
46,136473248,426596,390544,3
47,139472120,693316,180232,3
48,142471000,709940,206600,3
49,145469752,443096,246156,3
50,148468440,576460,215048,3
51,0,0,0,1
52,154466872,909060,134152,2
53,157464952,993404,217632,2
54,160464008,593436,189704,1
55,163463304,992796,16780,3
56,166477960,543324,226184,2
57,169476888,943172,94216,2
58,172459200,660060,183048,1
59,175457896,660060,160648,3
60,178456952,459836,210952,2
61,181455584,610308,284680,3
62,184454456,593684,238728,3
63,187453272,860044,114440,3
64,190451904,976780,135432,2
65,193450536,493932,219528,1
66,196467000,842456,146828,2
67,199448520,976548,52488,2
68,202447464,459836,579336,3
69,205463688,709092,220680,2
70,208461960,975932,184200,3
71,211444088,776556,171144,3
72,0,0,0,3
73,217458976,825676,195464,1
74,0,0,0,3
75,223439704,709816,152076,3
76,226454904,943284,138504,1
77,229437088,660308,221984,3
78,232436144,1009548,11016,3
79,235451344,676564,167816,3
80,238450216,526100,215432,2
81,241432464,676812,191112,3
82,244431520,875948,25096,1
83,247430032,626452,193800,1
84,250429208,675724,79368,1
85,253428504,941964,86280,1
86,0,0,0,1
87,259426072,409124,289160,2
88,262441216,509712,249740,1
89,265423464,626332,180112,3
90,268438720,743188,188424,1
91,271437836,893176,40340,3
92,274419664,676564,34952,2
93,277418720,776796,151304,2
94,280434336,759572,181640,3
95,283432960,776564,5152,2
96,286414736,476588,232328,1
97,289430540,626692,213772,2
98,292412848,692708,177672,1
99,295411472,676700,195976,1
100,0,0,0,3
101,301409416,1009060,188424,2
1,1523904,543568,279948,3
2,4522720,976660,471200,1
3,7521592,825708,174088,2
4,10520712,409844,211480,2
5,13519040,676444,177800,3
6,16517912,493572,200712,2
7,19517152,593444,235152,1
8,22515184,843780,111264,3
9,0,0,0,2
11,31512768,692948,176392,2
12,34511520,875708,138120,1
13,37509672,727164,174216,2
14,40491744,643196,84232,1
15,43507544,843060,3084,2
16,0,0,0,3
17,49505824,942332,116744,1
18,52504288,859440,158476,3
19,55503160,793060,63496,3
20,58502032,809572,174880,1
21,61500848,492972,192136,3
22,0,0,0,3
23,67498840,459596,217736,3
24,70497592,742228,138120,1
25,73496464,659100,179976,1
26,76495040,642716,200200,2
27,79493496,526460,205984,2
28,82492184,793308,215328,3
29,85490944,477188,155536,3
30,88489576,776916,39432,2
31,91489232,575972,195592,3
32,94487504,510556,253576,2
33,97486200,860164,83352,1
34,0,0,0,3
35,103484736,542716,189960,1
36,106483240,1009548,33292,1
37,109482056,1009668,104584,3
38,112480512,443452,185096,3
39,115479928,509348,154376,1
40,118478860,792704,22540,1
41,0,0,0,2
42,124493352,576340,199320,1
43,127474944,726436,183816,1
44,130473928,810056,132108,1
45,0,0,0,1
46,136471952,659556,189600,1
47,139470312,843304,243468,3
48,142485936,626452,203272,2
49,145468304,643076,208648,2
50,148484048,459476,214536,2
51,151482440,476828,231944,2
52,154464872,809204,61448,1
53,157480312,592716,189704,1
54,0,0,0,1
55,163461632,825812,122888,2
56,166459768,793180,185736,2
57,169458456,460084,348296,3
58,172457816,975812,36744,3
59,175472896,643436,190216,2
60,178455384,709692,113672,2
61,0,0,0,1
62,184453768,658876,263176,2
63,187451768,426468,290568,3
64,190450880,709700,150288,2
65,193449576,526220,207648,3
66,196448268,509832,134408,3
67,199447320,859444,47880,3
68,202445836,543088,177944,3
69,205444832,742948,91920,3
70,208443280,493332,70792,2
71,211442640,692708,129416,2
72,0,0,0,2
73,0,0,0,2
74,0,0,0,2
75,0,0,0,2
76,0,0,0,2
77,214458656,958796,184072,1
78,0,0,0,1
79,0,0,0,1
80,0,0,0,1
81,217441112,509112,218380,2
82,220439320,975820,131592,1
83,223454880,442372,230280,2
84,0,0,0,1
85,229452992,425628,205832,3
86,232451328,609460,200968,3
87,235433456,742820,156424,2
88,238448652,560432,198792,3
89,241431024,759328,114060,1
90,244446272,742956,185864,1
91,247428648,942692,130568,2
92,250427272,976068,35976,2
93,253442304,927020,206472,1
94,256424312,460316,215688,3
95,259439872,627052,179720,2
96,0,0,0,2
97,260959716,2488936,219656,3
98,264175988,1955120,159240,3
99,268436192,893172,25992,3
100,271435248,610188,137496,2
1,1530768,926068,218128,1
2,0,0,0,1
3,2882024,2307380,181000,2
4,7528280,992804,183704,1
5,10527336,1010148,93832,2
6,13509464,976056,251276,2
7,16508216,660060,169096,2
8,19523952,542612,143248,1
9,22522520,493220,189832,3
10,25521528,742700,164360,1
11,28503776,443452,204424,1
12,0,0,0,2
13,34518488,792716,183688,1
14,37516600,609948,177544,3
15,40498792,460444,206224,3
16,43514592,676324,151944,3
17,46513224,476828,205448,2
18,49511976,760052,142728,2
19,0,0,0,2
20,0,0,0,2
21,52004436,1400008,30984,1
22,55510028,943168,177800,1
23,58492816,675724,188040,2
24,61507896,725964,174480,1
25,64506768,1025932,73352,3
26,67505584,509716,190984,1
27,70504824,925212,76424,3
28,73486528,943292,183192,2
29,76502208,559348,236168,2
30,79501448,542116,183048,1
31,82499960,792700,177568,1
32,85498892,609224,177800,1
33,88497704,459116,177800,1
34,91496160,492972,177800,3
35,94494856,592956,199432,2
36,97494328,459116,202376,3
37,100492904,425868,253216,1
38,103491056,593316,147976,2
39,0,0,0,1
40,109489932,708744,235400,1
41,112487976,726204,453896,2
42,115486608,959676,111880,2
43,118485720,992568,176396,1
44,121484360,693068,192264,1
45,124483720,942204,85008,2
46,127466024,525620,198152,2
47,130481040,859324,63368,3
48,133479376,960036,56096,3
49,136462104,742588,185736,3
50,0,0,0,1
51,142476808,475596,218760,2
52,145475296,592956,226312,3
53,148473992,859316,180616,2
