trial #,time1,InterStim,reaction time,distance,1
1,1559928,424780,234120,3
2,4558560,457548,270600,2
3,7556712,608020,200088,3
4,10555648,557660,194952,1
5,0,0,0,2
6,16570608,656932,214664,2
7,19567808,558508,197384,1
8,22550600,707404,175496,3
9,25565736,724156,213640,1
10,28548048,474540,170520,1
11,31545840,791972,60424,2
12,34545304,624292,349576,3
13,37560392,608020,221064,2
14,40559208,1007380,144408,3
15,43541640,740652,257416,3
16,46540448,640548,215176,2
17,49555456,524420,205712,3
18,52553256,874984,181132,2
19,55536472,756920,222220,2
20,58550824,974252,205832,2
21,61549512,724764,328840,1
22,64532008,957388,166304,2
23,67530400,524172,280072,2
24,70529216,1007380,48264,2
25,73544168,875108,251912,2
26,76526728,673672,227724,1
27,79541504,774508,118920,1
28,82523688,924260,194568,1
29,85521960,558148,205320,3
30,88521560,940756,147848,1
31,91536576,790892,222728,3
32,94535152,857388,176904,2
33,97517280,940996,192008,3
34,100515852,924136,177184,2
35,103514720,540924,260360,2
36,106529504,641268,181000,2
37,109528200,857628,201480,1
38,112526648,874740,176008,3
39,115526128,707524,199432,2
40,118507592,724876,165384,2
41,121523688,923420,100880,2
42,124522384,790292,220552,1
43,127520600,674156,205192,3
44,130519232,707652,168720,1
45,133517688,957260,73224,1
46,136516984,673916,234784,3
47,139498632,757640,165644,2
48,142497264,742460,242312,3
49,145495472,541524,837396,1
50,148494472,924612,176008,1
51,151509848,857272,227724,3
52,154508416,690908,262024,2
53,157490672,507548,226824,1
54,160506160,590684,208904,1
55,163504080,624404,199048,1
56,166486028,858240,59272,1
57,169502312,923772,184968,2
58,172484016,624164,170376,3
59,175498792,407916,212104,1
60,178497488,907988,111112,2
61,181495820,575008,15624,2
62,184494696,791252,64136,2
63,187493328,958108,178312,1
64,190475576,741140,193800,1
65,193473912,608140,203024,1
66,196489824,624292,175120,3
67,199476960,519472,185868,1
90908,111624,3
69,205468624,841612,99720,3
70,208484064,841972,20104,3
71,211483120,741380,150432,2
72,214482056,524168,223116,3
73,217463336,458636,151688,2
74,220462216,758124,167328,3
75,223477832,691508,126872,2
76,226459240,491884,181128,3
77,229475160,741140,144904,1
78,232473672,724276,134680,1
79,235456040,540676,197768,3
80,238471240,807276,123528,3
81,241469936,790892,138760,3
82,244468328,824380,127112,1
83,247467080,607900,132360,3
84,250448368,775228,54024,1
85,253464344,658500,176264,3
86,0,0,0,1
87,259462376,707004,197768,2
88,262460672,657412,147216,3
89,265459424,624524,181896,2
90,268456848,991844,20128,3
91,271456268,724752,118664,3
92,274455024,657652,44680,2
93,277454200,790892,78216,2
94,280452232,791252,14856,3
95,283451224,507548,215456,1
96,286449552,491524,175240,2
97,289448728,874020,71816,3
98,292446220,625728,151304,1
99,295445216,674996,178184,2
100,298444688,490684,193928,3
101,301442536,474664,119820,1
102,304441296,658372,60680,2
103,307439872,524772,102920,1
104,310422000,541636,128136,3
105,313437616,758368,56844,3
106,316436128,824868,81928,2
107,0,0,0,2
108,322433928,874028,186120,2
109,325432512,424420,318088,3
110,328431264,457436,158360,1
111,331429656,857876,72584,1
112,334428592,590916,172320,1
113,337427344,907756,20760,2
114,340426040,740420,186264,2
115,343424616,657652,365064,3
116,346423064,774148,71304,2
117,349405560,424300,199560,3
118,352420336,708004,50056,2
119,355419024,674404,130592,2
120,0,0,0,2
121,361416992,807420,184072,2
122,364415352,641148,199072,1
123,367414224,1023644,207624,3
124,370413040,657052,184712,3
125,373411488,506948,203272,1
126,376409760,657776,175372,1
127,379408640,524292,204048,1
128,382407032,940756,165256,2
129,385405904,924132,194056,2
130,388404236,741016,126088,2
131,391403112,890884,131336,1
132,394417704,408404,221720,2
133,397400560,957380,132744,1
134,400398408,458636,212744,3
135,403397824,874500,11016,1
136,406396760,690660,199304,2
137,409394672,791252,17672,2
138,412394136,407444,247304,3
139,0,0,0,3
140,418391328,657908,170888,3
141,421389984,640668,189960,2
142,424388800,573444,177928,3
143,427387496,640668,160656,1
144,430386008,956900,51592,3
145,433384520,957508,49160,2
146,436383632,823788,121496,3
147,439381904,774396,39688,3
148,442380360,524652,212104,2
149,445379112,541036,162312,1
150,448377688,424540,228232,1
151,451376440,491284,202504,1
152,454374412,475984,201224,1
153,457373888,474540,216712,2
154,460373064,407076,260488,3
155,463371640,574044,150408,1
156,466386896,740172,144648,1
157,469368904,707772,163856,2
